Date,inflation,unemployment,gdp,exports,imports,acc_balance,consumption,population,emigration,immigration,life_expectancy,deaths
2020-06-30,-0.9333333333333335,7.333333333333333,15360.0,30796.9,25155.7,75.0,19851.498042768293,628263.5,14925.71107386175,22320.56395901658,82.325,4617.272931262716
2020-09-30,-0.13333333333333333,6.7,15822.6,32808.0,27780.6,1137.0,20473.108117404496,630419.0,15174.558565216805,22834.97482905298,82.45,4585.6248661549935
2020-12-31,-0.4666666666666666,6.466666666666666,17871.4,36186.5,30474.3,2039.0,21294.15141138211,632574.5,15545.857487322935,23898.515695613612,82.575,4535.35700034547
2021-03-31,1.0333333333333334,6.5,16868.3,36558.2,30694.9,1323.0,22151.0,634730.0,15959.0,25335.0,82.7,4489.0
2021-06-30,3.5666666666666664,5.3999999999999995,17759.5,38291.9,33099.6,337.0,22955.89549129835,637396.75,16365.575089585636,27034.590109340894,82.775,4461.151538037845
2021-09-30,3.6,4.933333333333334,17983.3,39104.5,32282.0,1510.0,23687.323496505527,640063.5,16732.47442988425,28787.50748211624,82.85,4449.8907052020695
2021-12-31,5.666666666666667,4.866666666666666,20428.4,43531.8,36773.5,466.0,24340.728238111187,642730.25,17029.274274043997,30338.72498554039,82.925,4448.287803723996
2022-03-31,6.766666666666667,4.633333333333334,18140.3,40880.2,34816.7,1962.0,24909.0,645397.0,17227.0,31433.0,83.0,4449.0
2022-06-30,9.466666666666667,4.233333333333333,18976.5,42194.9,35859.0,194.0,25416.840866200626,649250.0,17308.947675474807,31885.38200184921,83.1,4446.468782761419
2022-09-30,8.9,4.533333333333334,19026.8,43076.5,36476.3,2137.0,25866.717283458784,653103.0,17245.81761305528,31440.646537412576,83.2,4441.174243831525
2022-12-31,7.433333333333334,5.0,20587.6,44428.3,38536.5,-143.0,26257.440364758248,656956.0,17010.196926589328,29852.353264355046,83.30000000000001,4435.278169415259
2023-03-31,4.5,5.033333333333333,19489.5,43858.2,37377.0,254.0,26587.0,660809.0,16588.0,26964.0,83.4,4431.0
